countyfips,pop_2010,pop_2000,pop_1990,pop_1980,has_pop_1980,pop_1970,has_pop_1970,pop_1960,has_pop_1960,pop_1950,has_pop_1950,pop_1940,has_pop_1940,pop_1930,has_pop_1930,pop_1920,has_pop_1920,pop_1910,has_pop_1910,pop_1900,has_pop_1900
1001,10.907258,10.68444,10.440624,10.381553,1,10.104795,1,9.8383617,1,9.8084078,1,9.9511814,1,9.8880692,1,9.8473406,1,9.905386,1,9.7933941,1
1003,12.113217,11.852358,11.495576,11.271567,1,10.991747,1,10.80137,1,10.621254,1,10.383565,1,10.250228,1,9.9393368,1,9.8079672,1,9.4875174,1
1005,10.220376,10.276361,10.143173,10.116823,1,10.02318,1,10.114558,1,10.27132,1,10.395802,1,10.386685,1,10.375583,1,10.395987,1,10.467437,1
1007,10.039547,9.9439573,9.7157116,9.6628799,1,9.5332928,1,9.5719929,1,9.7974043,1,9.9112072,1,9.9417467,1,10.049491,1,10.034121,1,9.8254175,1
1009,10.95644,10.840052,10.577656,10.503943,1,10.198133,1,10.144432,1,10.274189,1,10.291806,1,10.240674,1,10.147923,1,9.9737597,1,10.04841,1
1011,9.297802,9.3685398,9.3094616,9.2682314,1,9.3778868,1,9.5076265,1,9.683713,1,9.8939419,1,9.9042873,1,10.139863,1,10.315465,1,10.371739,1
1013,9.9497509,9.9710999,9.9938765,9.9841452,1,9.9991159,1,10.108874,1,10.282883,1,10.387363,1,10.315432,1,10.293196,1,10.276085,1,10.156617,1
1015,11.683275,11.628475,11.661638,11.693254,1,11.543377,1,11.470832,1,11.284002,1,11.055941,1,10.926136,1,10.775241,1,10.574262,1,10.459496,1
21135,9.5374832,9.5533628,9.4749327,9.5850029,1,9.4218159,1,9.4815121,1,9.5119257,1,9.6605234,1,9.5690632,1,9.6695986,1,9.7342997,1,9.7907667,1
21137,10.116258,10.058824,9.905735,9.8549795,1,9.7209463,1,9.711297,1,9.8345661,1,9.8964128,1,9.7805853,1,9.7099638,1,9.792388,1,9.7444334,1
21139,9.1610451,9.190546,9.111845,9.1290216,1,8.9353771,1,8.8577995,1,8.879612,1,9.1189928,1,9.0604477,1,9.1831751,1,9.2711535,1,9.3373251,1
21141,10.197462,10.187651,10.102994,10.091542,1,9.9893436,1,9.9473133,1,10.01391,1,10.058138,1,9.9931002,1,10.070399,1,10.12571,1,10.165621,1
21143,9.0256958,8.9971476,8.7984543,8.778018,1,8.6237135,1,8.6867676,1,8.8324413,1,9.1123972,1,9.0513449,1,9.0819387,1,9.1509085,1,9.1398106,1
21145,11.090797,11.090019,11.048967,11.023698,1,10.973031,1,10.956161,1,10.802367,1,10.79002,1,10.74227,1,10.5253,1,10.464931,1,10.265801,1
21147,9.8149843,9.7456636,9.6552181,9.6572037,1,9.4373169,1,9.4305191,1,9.7207661,1,9.7081413,1,9.5906248,1,9.3652906,1,0,0,0,0
21151,11.325583,11.168631,10.95968,10.884666,1,10.662657,1,10.418763,1,10.3475,1,10.259097,1,10.226332,1,10.176716,1,10.201776,1,10.150621,1
21155,9.8944464,9.8098364,9.7110548,9.7931147,1,9.7240019,1,9.7342997,1,9.7533617,1,9.7358379,1,9.648531,1,9.6503353,1,9.7007589,1,9.698307,1
21157,10.356091,10.31311,10.211156,10.151792,1,9.9223585,1,9.725317,1,9.502039,1,9.7172785,1,9.4641294,1,9.6300373,1,9.6659279,1,9.5245667,1
21161,9.7693844,9.7291346,9.7211256,9.7849855,1,9.7568998,1,9.8230362,1,9.824769,1,9.8556623,1,9.8449049,1,9.7847042,1,9.8315077,1,9.9255428,1
21163,10.261232,10.179186,10.092868,10.036881,1,9.8413992,1,9.8489256,1,9.1508026,1,9.0855703,1,8.9924335,1,9.1529226,1,9.1884012,1,9.2622681,1
21167,9.9679165,9.9435253,9.8599539,9.8527727,1,9.6778412,1,9.5885029,1,9.5917177,1,9.5907612,1,9.5799017,1,9.6020441,1,9.5513029,1,9.576787,1
