state,county,statefips,countyfips,total_est,fed_est,has_fed_est,state_est,has_state_est,local_est,has_local_est,priv_est,has_priv_est,business_est,has_business_est,construction_est,has_construction_est,education_est,has_education_est,finance_est,has_finance_est,goods_est,has_goods_est,information_est,has_information_est,leisure_est,has_leisure_est,manufacturing_est,has_manufacturing_est,mining_est,has_mining_est,other_est,has_other_est,service_est,has_service_est,trade_est,has_trade_est,total_emp,fed_emp,has_fed_emp,state_emp,has_state_emp,local_emp,has_local_emp,priv_emp,has_priv_emp,business_emp,has_business_emp,construction_emp,has_construction_emp,education_emp,has_education_emp,finance_emp,has_finance_emp,goods_emp,has_goods_emp,information_emp,has_information_emp,leisure_emp,has_leisure_emp,manufacturing_emp,has_manufacturing_emp,mining_emp,has_mining_emp,other_emp,has_other_emp,service_emp,has_service_emp,trade_emp,has_trade_emp,total_wage,fed_wage,has_fed_wage,state_wage,has_state_wage,local_wage,has_local_wage,priv_wage,has_priv_wage,business_wage,has_business_wage,construction_wage,has_construction_wage,education_wage,has_education_wage,finance_wage,has_finance_wage,goods_wage,has_goods_wage,information_wage,has_information_wage,leisure_wage,has_leisure_wage,manufacturing_wage,has_manufacturing_wage,mining_wage,has_mining_wage,other_wage,has_other_wage,service_wage,has_service_wage,trade_wage,has_trade_wage,fed_ratio_e,has_fed_ratio_e,fed_ratio_w,has_fed_ratio_w,state_ratio_e,has_state_ratio_e,state_ratio_w,has_state_ratio_w,local_ratio_e,has_local_ratio_e,local_ratio_w,has_local_ratio_w,priv_ratio_e,has_priv_ratio_e,priv_ratio_w,has_priv_ratio_w,business_ratio_e,has_business_ratio_e,business_ratio_w,has_business_ratio_w,construction_ratio_e,has_construction_ratio_e,construction_ratio_w,has_construction_ratio_w,education_ratio_e,has_education_ratio_e,education_ratio_w,has_education_ratio_w,finance_ratio_e,has_finance_ratio_e,finance_ratio_w,has_finance_ratio_w,goods_ratio_e,has_goods_ratio_e,goods_ratio_w,has_goods_ratio_w,information_ratio_e,has_information_ratio_e,information_ratio_w,has_information_ratio_w,leisure_ratio_e,has_leisure_ratio_e,leisure_ratio_w,has_leisure_ratio_w,manufacturing_ratio_e,has_manufacturing_ratio_e,manufacturing_ratio_w,has_manufacturing_ratio_w,mining_ratio_e,has_mining_ratio_e,mining_ratio_w,has_mining_ratio_w,other_ratio_e,has_other_ratio_e,other_ratio_w,has_other_ratio_w,service_ratio_e,has_service_ratio_e,service_ratio_w,has_service_ratio_w,trade_ratio_e,has_trade_ratio_e,trade_ratio_w,has_trade_ratio_w
,District of Columbia,11,11001,9.9786882,5.4510384,1,2.6390574,1,0,0,9.9668846,1,8.6750517,1,6.767343,1,7.6285176,1,7.5153446,1,7.2737865,1,6.6656837,1,7.3051882,1,6.3117347,1,3.1354942,1,8.5069408,1,9.8968153,1,7.9370174,1,13.41377,12.301083,1,10.843222,1,0,0,12.88216,1,11.585776,1,9.5178986,1,11.210657,1,10.414273,1,9.9099665,1,10.164158,1,10.770588,1,8.742734,1,5.57973,1,10.710231,1,12.829613,1,10.573699,1,10.426232,10.549229,1,10.422013,1,0,0,10.348783,1,10.509114,1,10.328036,1,10.299845,1,10.510613,1,10.428689,1,10.654573,1,9.6093845,1,10.586155,1,11.061421,1,10.349903,1,10.344288,1,10.149409,1,11.1,1,9.7799997,1,2.0899999,1,1.89,1,0,0,0,0,.69999999,1,.66000003,1,1.67,1,1.58,1,.43000001,1,.34999999,1,1.12,1,1.03,1,.80000001,1,.72000003,1,.13,1,.11,1,1.52,1,1.42,1,.81999999,1,.83999997,1,.059999999,1,.059999999,1,.02,1,.050000001,1,2.0999999,1,2.9200001,1,.92000002,1,.92000002,1,.28,1,.23999999,1
 Alabama,Autauga County,1,1001,6.4248691,2.3978953,1,2.5649493,1,2.3978953,1,6.3664703,1,3.9512436,1,4.4886365,1,3.4965076,1,3.8286414,1,5.0039463,1,2.0794415,1,3.583519,1,3.713572,1,2.9957323,1,4.2195077,1,6.0707378,1,5.2522736,1,8.9709406,4.4426513,1,4.8040209,1,7.0057888,1,8.7888985,1,5.3798971,1,6.0450053,1,6.3099184,1,6.1420374,1,7.977282,1,4.5108595,1,6.3279366,1,7.7484598,1,5.1647859,1,5.4249501,1,8.2016602,1,7.3382382,1,9.8200512,10.04338,1,10.153818,1,9.7745743,1,9.8168945,1,9.5986595,1,9.6168051,1,9.6736965,1,9.7037554,1,10.060492,1,9.9204922,1,8.8913736,1,10.155879,1,9.4380331,1,9.1412048,1,9.5680151,1,9.6785927,1,.36000001,1,.34999999,1,.41999999,1,.54000002,1,1.4400001,1,1.38,1,1,1,1.01,1,.28999999,1,.2,1,1.12,1,.81999999,1,.70999998,1,.63999999,1,.94999999,1,.69999999,1,1.63,1,1.79,1,.44999999,1,.37,1,.81999999,1,.75,1,1.8,1,2.1199999,1,1.39,1,.98000002,1,.91000003,1,.69,1,.75999999,1,.63999999,1,.94,1,.91000003,1
 Alabama,Baldwin County,1,1003,7.7574787,2.4849067,1,2.9957323,1,3.4965076,1,7.7288556,1,5.4026775,1,5.5834961,1,4.9698133,1,5.2626901,1,6.1333981,1,2.9957323,1,5.4205351,1,4.89784,1,4.1271343,1,5.6240177,1,7.5021863,1,6.5930448,1,10.229548,5.3423343,1,6.8308744,1,8.3067188,1,10.022337,1,7.2056351,1,6.9939332,1,7.3839893,1,7.1685801,1,8.849514,1,5.9814143,1,8.4200211,1,8.5366039,1,6.6644092,1,6.6592941,1,9.6519442,1,8.62784,1,9.6297083,10.120693,1,9.724122,1,9.7874031,1,9.5881605,1,9.5937643,1,9.6407585,1,9.6739483,1,9.7680683,1,9.7622118,1,9.8916178,1,9.1101885,1,9.8238487,1,9.4683876,1,9.4073038,1,9.4991217,1,9.58459,1,.25,1,.31999999,1,.91000003,1,.91000003,1,1.5,1,1.76,1,.97000003,1,.94999999,1,.50999999,1,.41999999,1,.81999999,1,.75,1,.58999997,1,.63999999,1,.75,1,.70999998,1,1.11,1,1.09,1,.56,1,.54000002,1,1.89,1,2.5999999,1,1.12,1,1.15,1,1.76,1,1.55,1,.88,1,1.0599999,1,.92000002,1,.88,1,.97000003,1,1.03,1
 Alabama,Barbour County,1,1005,6.3225651,2.1972246,1,2.8332133,1,2.9444389,1,6.2383246,1,3.583519,1,3.7841897,1,3.6109178,1,3.8286414,1,4.7095304,1,1.7917595,1,3.6375861,1,3.6375861,1,3.3672957,1,4.1271343,1,5.9939613,1,5.1761498,1,9.1437731,4.4067192,1,6.6489844,1,6.9285378,1,8.9201221,1,4.8121843,1,5.3706379,1,6.2363696,1,5.7899604,1,8.2728262,1,3.9512436,1,6.1923623,1,8.1297646,1,5.7268476,1,4.89784,1,8.1786385,1,7.5647569,1,9.7367239,10.051649,1,9.8455935,1,9.6452351,1,9.7326994,1,9.9668379,1,9.5640211,1,9.4942408,1,9.7791138,1,9.8362789,1,9.7199249,1,8.7723007,1,9.8402281,1,9.9519444,1,8.9738579,1,9.6049471,1,9.7361927,1,.30000001,1,.31999999,1,2.26,1,2.29,1,1.12,1,1.02,1,.95999998,1,.97000003,1,.14,1,.15000001,1,.47999999,1,.36000001,1,.56,1,.44999999,1,.56,1,.47999999,1,1.84,1,1.76,1,.22,1,.16,1,.60000002,1,.52999997,1,2.21,1,2.0699999,1,2.05,1,2.6300001,1,.44999999,1,.31,1,.63,1,.60000002,1,1,1,1.11,1
 Alabama,Bibb County,1,1007,5.602119,2.0794415,1,2.3978953,1,2.3978953,1,5.4889379,1,0,0,3.3672957,1,2.7080503,1,2.9444389,1,4.4067192,1,0,0,2.4849067,1,3.2188759,1,3.3322046,1,2.8903718,1,5.0751739,1,4.356709,1,8.2746115,4.59512,1,3.9512436,1,6.5395861,1,8.0326853,1,0,0,5.220356,1,4.8121843,1,4.9698133,1,7.5021863,1,0,0,4.8202815,1,7.167038,1,5.8021183,1,5.1119876,1,7.145196,1,6.4551988,1,9.602788,9.9300318,1,10.175231,1,9.6434851,1,9.5673151,1,0,0,9.867238,1,9.5682249,1,9.6810312,1,9.5612087,1,0,0,8.8052254,1,9.4638195,1,9.7122669,1,9.3516665,1,9.5759554,1,9.6806564,1,.85000002,1,.92000002,1,.36000001,1,.58999997,1,1.8099999,1,1.89,1,.94,1,.92000002,1,0,0,0,0,.99000001,1,1.15,1,.31999999,1,.31999999,1,.58999997,1,.51999998,1,2.03,1,1.6799999,1,0,0,0,0,.36000001,1,.38,1,2.02,1,1.48,1,5.2600002,1,6.0799999,1,1.33,1,1.55,1,.52999997,1,.56,1,.77999997,1,.94,1
 Alabama,Blount County,1,1009,6.3767271,2.0794415,1,2.4849067,1,2.9957323,1,6.3062754,1,3.583519,1,4.4543471,1,3.4339871,1,3.6109178,1,5.1416636,1,1.7917595,1,3.5553482,1,4.2341065,1,2.7725887,1,3.9512436,1,5.9322453,1,5.1984968,1,8.883502,4.5325994,1,4.934474,1,7.0228682,1,8.6757345,1,4.9972124,1,5.7807436,1,6.1290503,1,5.5984221,1,8.0430212,1,4.2341065,1,5.7333412,1,7.852828,1,5.3706379,1,4.8520303,1,7.9186287,1,7.2181768,1,9.5795565,10.073273,1,9.9977064,1,9.6975698,1,9.5320616,1,9.8400154,1,9.5517998,1,9.4603987,1,9.9522781,1,9.4809017,1,10.124869,1,8.858511,1,9.4183292,1,9.960104,1,9.6029902,1,9.5870628,1,9.5882292,1,.44,1,.55000001,1,.52999997,1,.73000002,1,1.6,1,1.8,1,.97000003,1,.94,1,.20999999,1,.23999999,1,.94,1,.81999999,1,.64999998,1,.60000002,1,.60000002,1,.72000003,1,1.9,1,1.48,1,.37,1,.47999999,1,.49000001,1,.56,1,2.1800001,1,1.5599999,1,1.86,1,2.8099999,1,.56,1,.85000002,1,.63,1,.68000001,1,.91000003,1,1.02,1
 Alabama,Bullock County,1,1011,5.2470241,2.3025851,1,2.3025851,1,2.0794415,1,5.09375,1,0,0,0,0,2.3025851,1,2.6390574,1,3.6888795,1,0,0,2.3025851,1,0,0,3.1780539,1,3.0910425,1,4.8121843,1,4.0943446,1,7.9926066,3.9512436,1,5.5333896,1,6.3171649,1,7.6492162,1,0,0,0,0,4.356709,1,4.4773369,1,7.167809,1,0,0,4.7004805,1,0,0,5.9661469,1,4.2904596,1,6.6871085,1,6.0520892,1,9.615139,10.069299,1,9.9898491,1,9.5264645,1,9.5673857,1,0,0,0,0,9.4685421,1,9.6776533,1,9.5906248,1,0,0,8.8248253,1,0,0,9.5398598,1,9.0828476,1,9.5286484,1,9.6523304,1,.58999997,1,.73000002,1,2.3399999,1,3.0899999,1,1.92,1,1.76,1,.85000002,1,.81999999,1,0,0,0,0,0,0,0,0,.27000001,1,.23999999,1,.47999999,1,.41999999,1,1.9299999,1,1.62,1,0,0,0,0,.43000001,1,.44999999,1,0,0,0,0,8.2200003,1,7.8800001,1,.76999998,1,.68000001,1,.44999999,1,.44,1,.69,1,.80000001,1
 Alabama,Butler County,1,1013,6.1506028,1.9459101,1,2.5649493,1,2.3978953,1,6.0844994,1,3.0910425,1,3.6888795,1,3.2580965,1,3.3672957,1,4.7361984,1,2.0794415,1,3.2958369,1,3.4339871,1,3.7841897,1,4.1743875,1,5.7838254,1,5.0039463,1,8.7121019,4.0775375,1,4.5643482,1,6.6783423,1,8.5420809,1,4.1896548,1,5.1059456,1,6.1675167,1,5.3033047,1,7.8628821,1,4.2484951,1,5.971262,1,7.6415644,1,5.857933,1,5.1179938,1,7.8347883,1,7.0509896,1,9.6593122,10.068281,1,10.015476,1,9.6944323,1,9.6397171,1,9.3937445,1,9.8151484,1,9.6053514,1,9.9177847,1,9.749404,1,9.8504028,1,8.7715254,1,9.7284794,1,9.8365459,1,9.0046682,1,9.5127382,1,9.5992022,1,.33000001,1,.38999999,1,.43000001,1,.56,1,1.35,1,1.39,1,1.01,1,1,1,.11,1,.07,1,.56999999,1,.60000002,1,.80000001,1,.79000002,1,.52999997,1,.56999999,1,1.88,1,1.78,1,.44999999,1,.41,1,.74000001,1,.70999998,1,2.0899999,1,1.89,1,3.5899999,1,4.4400001,1,.86000001,1,.67000002,1,.68000001,1,.63999999,1,.92000002,1,.95999998,1
 Alabama,Calhoun County,1,1015,7.6755462,3.2580965,1,3.0445225,1,3.5263605,1,7.6377163,1,5.3518581,1,5.3659759,1,5.1416636,1,5.2522736,1,6.0038872,1,2.9444389,1,4.9416423,1,5.1179938,1,3.1780539,1,5.6383548,1,7.420579,1,6.4892049,1,10.721416,8.8116522,1,7.2130318,1,8.5358191,1,10.378261,1,7.8473721,1,7.2562971,1,7.6128311,1,7.2834482,1,9.4498301,1,6.4377518,1,8.0573778,1,9.2865601,1,6.20859,1,7.0273147,1,9.8754482,1,9.047821,1,9.8369207,10.238816,1,10.149175,1,9.7742329,1,9.721426,1,9.7626724,1,9.7014942,1,9.9835453,1,9.791997,1,9.7868414,1,10.017575,1,8.8993216,1,9.8036118,1,9.6438093,1,9.4460449,1,9.6762733,1,9.7384949,1,5,1,5.8200002,1,.81999999,1,1.02,1,1.16,1,1.09,1,.85000002,1,.76999998,1,.58999997,1,.47,1,.66000003,1,.50999999,1,.44999999,1,.55000001,1,.50999999,1,.41,1,1.23,1,1.01,1,.54000002,1,.47999999,1,.80000001,1,.73000002,1,1.45,1,1.1799999,1,.68000001,1,.57999998,1,.77999997,1,.79000002,1,.69999999,1,.64999998,1,.91000003,1,.91000003,1
 Alabama,Chambers County,1,1017,6.3543701,2.0794415,1,2.4849067,1,2.6390574,1,6.2934194,1,3.6375861,1,4.0943446,1,3.8501475,1,3.5263605,1,4.8362818,1,2.1972246,1,3.6888795,1,3.6109178,1,3.3672957,1,4.2904596,1,6.0282784,1,5.1647859,1,9.5139208,4.2766662,1,4.8675346,1,7.1388669,1,9.3997202,1,6.7031879,1,5.5093884,1,6.7499313,1,5.6524892,1,8.7750864,1,4.6821313,1,6.3561077,1,8.709795,1,5.0814042,1,5.6347895,1,8.6330185,1,7.8998952,1,9.7587509,10.037974,1,10.025749,1,9.718482,1,9.7576523,1,9.8229818,1,9.4459658,1,9.8042746,1,9.7518501,1,9.7806416,1,9.9718933,1,8.873888,1,9.7961807,1,9.6149387,1,9.1932955,1,9.7305021,1,9.8250933,1,.18000001,1,.19,1,.25999999,1,.31,1,.95999998,1,.92000002,1,1.0700001,1,1.08,1,.63,1,.57999998,1,.38,1,.25,1,.63999999,1,.69999999,1,.34,1,.28,1,2.0999999,1,1.85,1,.31,1,.28999999,1,.49000001,1,.47,1,2.73,1,2.3900001,1,.74000001,1,.66000003,1,.64999998,1,.55000001,1,.68000001,1,.72000003,1,.95999998,1,1.14,1
