state,year,itc,rnd,G_rnd,G_itc,delta_rnd,has_rnd,delta_itc,has_itc,G_both,has_both
AL,1990,0,0,0,1995,0,0,0,0,1995,0
AL,1991,0,0,0,1995,0,0,0,0,1995,0
AL,1992,0,0,0,1995,0,0,0,0,1995,0
AL,1993,0,0,0,1995,0,0,0,0,1995,0
AL,1994,0,0,0,1995,0,0,0,0,1995,0
AL,1995,.0092799999,0,0,1995,0,0,.0092799999,1,1995,1
AL,1996,.0093099996,0,0,1995,0,0,.000029999763,1,1995,1
AL,1997,.0092799999,0,0,1995,0,0,-.000029999763,1,1995,1
AL,1998,.0093,0,0,1995,0,0,.000020000152,1,1995,1
AL,1999,.0093299998,0,0,1995,0,0,.000029999763,1,1995,1
AL,2000,.0093099996,0,0,1995,0,0,-.000020000152,1,1995,1
AL,2001,.01206,0,0,1995,0,0,.00275,1,1995,1
AL,2002,.01205,0,0,1995,0,0,-9.9996105e-06,1,1995,1
AL,2003,.01205,0,0,1995,0,0,0,1,1995,1
AL,2004,.01205,0,0,1995,0,0,0,1,1995,1
AL,2005,.01199,0,0,1995,0,0,-.000060000457,1,1995,1
AL,2006,.01199,0,0,1995,0,0,0,1,1995,1
AL,2007,.012,0,0,1995,0,0,.000010000542,1,1995,1
AL,2008,.01195,0,0,1995,0,0,-.000049999915,1,1995,1
AL,2009,.01195,0,0,1995,0,0,0,1,1995,1
AL,2010,.01194,0,0,1995,0,0,-.000010000542,1,1995,1
AZ,1990,0,0,1992,0,0,0,0,0,1992,0
AZ,1991,0,0,1992,0,0,0,0,0,1992,0
AZ,1992,0,.0039599999,1992,0,.0039599999,1,0,0,1992,1
AZ,1993,0,.0039599999,1992,0,0,1,0,0,1992,1
AZ,1994,0,.0039400002,1992,0,-.000019999687,1,0,0,1992,1
AZ,1995,0,.0039400002,1992,0,0,1,0,0,1992,1
AZ,1996,0,.00392,1992,0,-.000020000152,1,0,0,1992,1
AZ,1997,0,.00391,1992,0,-.000010000076,1,0,0,1992,1
AZ,1998,0,.0038600001,1992,0,-.000049999915,1,0,0,1992,1
AZ,1999,0,.0037700001,1992,0,-.000089999987,1,0,0,1992,1
AZ,2000,0,.0037700001,1992,0,0,1,0,0,1992,1
AZ,2001,0,.0035999999,1992,0,-.00017000013,1,0,0,1992,1
AZ,2002,0,.0035999999,1992,0,0,1,0,0,1992,1
AZ,2003,0,.0036200001,1992,0,.000020000152,1,0,0,1992,1
AZ,2004,0,.00364,1992,0,.000019999919,1,0,0,1992,1
AZ,2005,0,.0036299999,1992,0,-.000010000076,1,0,0,1992,1
AZ,2006,0,.0036500001,1992,0,.000020000152,1,0,0,1992,1
AZ,2007,0,.0035999999,1992,0,-.000050000148,1,0,0,1992,1
AZ,2008,0,.00358,1992,0,-.000019999919,1,0,0,1992,1
AZ,2009,0,.00355,1992,0,-.000029999996,1,0,0,1992,1
AZ,2010,0,.00355,1992,0,0,1,0,0,1992,1
CA,1990,0,.0021500001,1990,1994,0,1,0,0,1990,1
CA,1991,0,.0021500001,1990,1994,0,1,0,0,1990,1
CA,1992,0,.0021500001,1990,1994,0,1,0,0,1990,1
CA,1993,0,.0021500001,1990,1994,0,1,0,0,1990,1
CA,1994,.00178,.0020999999,1990,1994,-.000050000148,1,.00178,1,1990,1
CA,1995,.00178,.0020999999,1990,1994,0,1,0,1,1990,1
CA,1996,.00179,.0020999999,1990,1994,0,1,9.9999597e-06,1,1990,1
CA,1997,.00179,.00287,1990,1994,.00077000004,1,0,1,1990,1
CA,1998,.00177,.00285,1990,1994,-.000019999919,1,-.000020000036,1,1990,1
CA,1999,.00176,.00309,1990,1994,.00023999996,1,-9.9999597e-06,1,1990,1
CA,2000,.00177,.0037100001,1990,1994,.00062000006,1,9.9999597e-06,1,1990,1
CA,2001,.00177,.0037,1990,1994,-.000010000076,1,0,1,1990,1
CA,2002,.00177,.0037,1990,1994,0,1,0,1,1990,1
CA,2003,.00177,.0037100001,1990,1994,.000010000076,1,0,1,1990,1
CA,2004,0,.00398,1990,1994,.00026999996,1,-.00177,0,1990,1
CA,2005,0,.0039900001,1990,1994,.000010000076,1,0,0,1990,1
CA,2006,0,.0040099998,1990,1994,.000019999687,1,0,0,1990,1
CA,2007,0,.0040099998,1990,1994,0,1,0,0,1990,1
CA,2008,0,.0039900001,1990,1994,-.000019999687,1,0,0,1990,1
CA,2009,0,.0039900001,1990,1994,0,1,0,0,1990,1
CA,2010,0,.00398,1990,1994,-.000010000076,1,0,0,1990,1
CO,1990,0,0,0,0,0,0,0,0,0,0
CO,1991,0,0,0,0,0,0,0,0,0,0
CO,1992,0,0,0,0,0,0,0,0,0,0
CO,1993,0,0,0,0,0,0,0,0,0,0
CO,1994,0,0,0,0,0,0,0,0,0,0
CO,1995,0,0,0,0,0,0,0,0,0,0
CO,1996,0,0,0,0,0,0,0,0,0,0
CO,1997,0,0,0,0,0,0,0,0,0,0
CO,1998,0,0,0,0,0,0,0,0,0,0
CO,1999,0,0,0,0,0,0,0,0,0,0
CO,2000,0,0,0,0,0,0,0,0,0,0
CO,2001,0,0,0,0,0,0,0,0,0,0
CO,2002,0,0,0,0,0,0,0,0,0,0
CO,2003,0,0,0,0,0,0,0,0,0,0
CO,2004,0,0,0,0,0,0,0,0,0,0
CO,2005,0,0,0,0,0,0,0,0,0,0
CO,2006,0,0,0,0,0,0,0,0,0,0
CO,2007,0,0,0,0,0,0,0,0,0,0
CO,2008,0,0,0,0,0,0,0,0,0,0
CO,2009,0,0,0,0,0,0,0,0,0,0
CO,2010,0,0,0,0,0,0,0,0,0,0
CT,1990,0,0,1993,1998,0,0,0,0,1993,0
CT,1991,0,0,1993,1998,0,0,0,0,1993,0
CT,1992,0,0,1993,1998,0,0,0,0,1993,0
CT,1993,0,.00098999997,1993,1998,.00098999997,1,0,0,1993,1
CT,1994,0,.00098999997,1993,1998,0,1,0,0,1993,1
CT,1995,0,.00098000001,1993,1998,-9.9999597e-06,1,0,0,1993,1
CT,1996,0,.00095000002,1993,1998,-.000029999996,1,0,0,1993,1
CT,1997,0,.00094,1993,1998,-.000010000018,1,0,0,1993,1
CT,1998,.0020600001,.00102,1993,1998,.000079999969,1,.0020600001,1,1993,1
CT,1999,.00199,.00096999999,1993,1998,-.000049999973,1,-.000070000067,1,1993,1
CT,2000,.00208,.00106,1993,1998,.000090000045,1,.000089999987,1,1993,1
CT,2001,.00202,.001,1993,1998,-.000059999991,1,-.000059999991,1,1993,1
CT,2002,.0020099999,.00098999997,1993,1998,-.000010000076,1,-.000010000076,1,1993,1
CT,2003,.0021800001,.00107,1993,1998,.000080000027,1,.00017000013,1,1993,1
CT,2004,.00226,.00109,1993,1998,.000020000036,1,.000079999911,1,1993,1
CT,2005,.00214,.00101,1993,1998,-.000080000027,1,-.00011999998,1,1993,1
CT,2006,.00185,.00091,1993,1998,-.0001,1,-.00029,1,1993,1
CT,2007,.00083999999,.00070999999,1993,1998,-.00020000001,1,-.00101,1,1993,1
CT,2008,.00083999999,.00072000001,1993,1998,.000010000018,1,0,1,1993,1
CT,2009,.00091,.00073999999,1993,1998,.000019999978,1,.000070000009,1,1993,1
CT,2010,.00094,.00075000001,1993,1998,.000010000018,1,.000029999996,1,1993,1
DC,1990,0,0,0,0,0,0,0,0,0,0
DC,1991,0,0,0,0,0,0,0,0,0,0
DC,1992,0,0,0,0,0,0,0,0,0,0
DC,1993,0,0,0,0,0,0,0,0,0,0
DC,1994,0,0,0,0,0,0,0,0,0,0
DC,1995,0,0,0,0,0,0,0,0,0,0
DC,1996,0,0,0,0,0,0,0,0,0,0
DC,1997,0,0,0,0,0,0,0,0,0,0
DC,1998,0,0,0,0,0,0,0,0,0,0
DC,1999,0,0,0,0,0,0,0,0,0,0
DC,2000,0,0,0,0,0,0,0,0,0,0
DC,2001,0,0,0,0,0,0,0,0,0,0
DC,2002,0,0,0,0,0,0,0,0,0,0
DC,2003,0,0,0,0,0,0,0,0,0,0
DC,2004,0,0,0,0,0,0,0,0,0,0
DC,2005,0,0,0,0,0,0,0,0,0,0
DC,2006,0,0,0,0,0,0,0,0,0,0
DC,2007,0,0,0,0,0,0,0,0,0,0
DC,2008,0,0,0,0,0,0,0,0,0,0
DC,2009,0,0,0,0,0,0,0,0,0,0
DC,2010,0,0,0,0,0,0,0,0,0,0
FL,1990,0,0,0,1998,0,0,0,0,1998,0
FL,1991,0,0,0,1998,0,0,0,0,1998,0
FL,1992,0,0,0,1998,0,0,0,0,1998,0
FL,1993,0,0,0,1998,0,0,0,0,1998,0
FL,1994,0,0,0,1998,0,0,0,0,1998,0
FL,1995,0,0,0,1998,0,0,0,0,1998,0
FL,1996,0,0,0,1998,0,0,0,0,1998,0
FL,1997,0,0,0,1998,0,0,0,0,1998,0
FL,1998,.0071399999,0,0,1998,0,0,.0071399999,1,1998,1
FL,1999,.0071999999,0,0,1998,0,0,.000059999991,1,1998,1
FL,2000,.00722,0,0,1998,0,0,.000020000152,1,1998,1
